epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8597.64,1.65478,0.91777,1.30495,0.43295,0.45409,0.41013,0.13077,2.65904,1.85646,1.87011,0.00098525,0.00098525,0.00098525
43,8802.47,1.72249,0.9154,1.33707,0.64598,0.55789,0.57757,0.19316,2.60338,1.52591,1.86158,0.0009605,0.0009605,0.0009605
44,9003.82,1.74929,0.91043,1.34131,0.6056,0.5,0.48547,0.14054,2.67071,1.7229,1.82325,0.00093575,0.00093575,0.00093575
45,9206.78,1.70036,0.90593,1.30826,0.58601,0.44737,0.44358,0.13559,2.62219,2.07608,1.76506,0.000911,0.000911,0.000911
46,9432.56,1.63466,0.8823,1.27621,0.55694,0.51053,0.49379,0.14294,2.62738,1.88169,1.80003,0.00088625,0.00088625,0.00088625
47,9659.53,1.64302,0.86894,1.29877,0.57323,0.36761,0.40286,0.12046,2.6049,2.21447,1.76937,0.0008615,0.0008615,0.0008615
48,9880.05,1.67943,0.86422,1.36541,0.50033,0.53158,0.45709,0.13894,2.67686,1.695,1.89003,0.00083675,0.00083675,0.00083675
49,10108.2,1.60335,0.82883,1.2869,0.51665,0.58421,0.50948,0.14721,2.6815,1.65044,1.86829,0.000812,0.000812,0.000812
50,10324.8,1.62478,0.84444,1.28107,0.49346,0.57368,0.48624,0.145,2.63276,1.7775,1.7266,0.00078725,0.00078725,0.00078725
51,10529.7,1.61748,0.83986,1.29836,0.57539,0.43507,0.41429,0.12048,2.70915,2.2002,1.76963,0.0007625,0.0007625,0.0007625
52,10718.9,1.65232,0.8669,1.31871,0.57099,0.53684,0.49304,0.13698,2.66133,1.64938,1.88313,0.00073775,0.00073775,0.00073775
53,10900.6,1.61894,0.80049,1.2693,0.43933,0.55789,0.4623,0.13723,2.67416,1.80658,1.87121,0.000713,0.000713,0.000713
54,11091.4,1.6591,0.85257,1.31502,0.58919,0.49474,0.5048,0.14005,2.71429,1.73247,1.85927,0.00068825,0.00068825,0.00068825
55,11327.2,1.61038,0.86784,1.28776,0.49979,0.48421,0.45052,0.12246,2.67085,1.87845,1.79882,0.0006635,0.0006635,0.0006635
56,11522.9,1.59148,0.81143,1.26607,0.45526,0.41053,0.36485,0.09882,2.72378,2.14078,1.82681,0.00063875,0.00063875,0.00063875
57,11708.2,1.59392,0.80429,1.27694,0.52697,0.56316,0.50733,0.14358,2.66464,1.71007,1.92187,0.000614,0.000614,0.000614
58,11894.8,1.60383,0.79825,1.26446,0.51406,0.5512,0.49461,0.13589,2.64443,1.81556,1.75342,0.00058925,0.00058925,0.00058925
